chart_rank,symbol,quote_updates,valid_quotes,mean_spread,full_source_table,chart_filter
1,ZAZZT,2381,2377,0.5770719394194362,artifacts/report/public_iex_quote_stats.csv,top_14_by_quote_updates_after_min_25_valid_quote_rows
2,AWP,1497,1481,0.07462525320729238,artifacts/report/public_iex_quote_stats.csv,top_14_by_quote_updates_after_min_25_valid_quote_rows
3,AWR,1176,1172,0.09808873720136475,artifacts/report/public_iex_quote_stats.csv,top_14_by_quote_updates_after_min_25_valid_quote_rows
4,B,1091,1087,0.06126954921803118,artifacts/report/public_iex_quote_stats.csv,top_14_by_quote_updates_after_min_25_valid_quote_rows
5,AWK,978,972,0.04367283950617625,artifacts/report/public_iex_quote_stats.csv,top_14_by_quote_updates_after_min_25_valid_quote_rows
6,AWF,813,807,0.0863193308550191,artifacts/report/public_iex_quote_stats.csv,top_14_by_quote_updates_after_min_25_valid_quote_rows
7,AUMN,789,778,0.0032847043701799503,artifacts/report/public_iex_quote_stats.csv,top_14_by_quote_updates_after_min_25_valid_quote_rows
8,AZZ,332,327,10.779969418960246,artifacts/report/public_iex_quote_stats.csv,top_14_by_quote_updates_after_min_25_valid_quote_rows
9,AYT,321,306,0.02836601307189482,artifacts/report/public_iex_quote_stats.csv,top_14_by_quote_updates_after_min_25_valid_quote_rows
10,AUSE,284,277,0.2523104693140791,artifacts/report/public_iex_quote_stats.csv,top_14_by_quote_updates_after_min_25_valid_quote_rows
11,ZWZZT,270,245,6.490122448979592,artifacts/report/public_iex_quote_stats.csv,top_14_by_quote_updates_after_min_25_valid_quote_rows
12,AYR,265,258,0.7184108527131778,artifacts/report/public_iex_quote_stats.csv,top_14_by_quote_updates_after_min_25_valid_quote_rows
13,ATSG,251,246,0.039959349593495654,artifacts/report/public_iex_quote_stats.csv,top_14_by_quote_updates_after_min_25_valid_quote_rows
14,AYI,236,232,0.11155172413793567,artifacts/report/public_iex_quote_stats.csv,top_14_by_quote_updates_after_min_25_valid_quote_rows
