message_index,timestamp_ns,symbol,bid_price,ask_price,bid_size,ask_size,spread,source_path,limitation
34341,1517059770458963286,ZEXIT,9.98,10.0,154,154,0.019999999999999574,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
34342,1517059770487341145,ZIEXT,0.9998,1.0,154,451,0.00019999999999997797,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
34344,1517059770686114252,ZXIET,99.97,100.0,154,154,0.030000000000001137,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
35336,1517061960187796041,ZXIET,95.0,101.0,100,100,6.0,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
45627,1517064180131671227,ZXIET,99.98,101.0,453,100,1.019999999999996,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
45648,1517064220030995016,ZXIET,99.98,101.0,353,100,1.019999999999996,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
45666,1517064257166468946,ZXIET,99.98,101.0,253,100,1.019999999999996,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
46014,1517064500006407259,DISH,47.17,50.0,440,700,2.8299999999999983,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
46019,1517064515977694478,DISH,47.17,50.0,1118,700,2.8299999999999983,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
46033,1517064527745053615,DISH,47.17,50.0,1018,700,2.8299999999999983,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
46037,1517064531761731146,DISH,47.17,50.0,818,700,2.8299999999999983,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
46117,1517064626911513286,DISH,47.17,50.0,678,700,2.8299999999999983,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
46294,1517064680281403003,DISH,47.17,50.0,618,700,2.8299999999999983,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
46296,1517064685059712458,DISH,47.17,50.0,518,700,2.8299999999999983,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
46297,1517064685631022412,DISH,47.19,50.0,518,700,2.8100000000000023,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
46367,1517064836033287745,DISH,47.19,50.0,418,700,2.8100000000000023,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
46375,1517064840878570621,DISH,47.19,50.0,318,700,2.8100000000000023,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
46419,1517064917561592387,DISH,47.19,50.0,218,700,2.8100000000000023,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
46429,1517064924372599478,DISH,47.19,50.0,118,700,2.8100000000000023,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
