symbol,source_path,quote_updates,valid_quotes,trade_reports,mean_spread,median_spread,mean_trade_size,median_trade_price,first_timestamp_ns,last_timestamp_ns,limitation
A,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623564338,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
AA,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623570941,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
AAAP,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623572978,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
AABA,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623573151,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
AAC,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623576821,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
AADR,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,7,0,0,,,,,1517058016623576972,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
AAL,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623577108,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
AAMC,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623579199,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
AAME,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623579365,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
AAN,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623579567,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
AAOI,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623615362,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
AAON,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623616412,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
AAP,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623618975,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
AAPL,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,7,0,0,,,,,1517058016623619146,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
AAT,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623621034,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
AAU,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623621242,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
AAV,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623622838,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
AAWW,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623623045,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
AAXJ,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623624737,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
AAXN,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623624992,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
AB,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623626415,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
ABAC,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623626585,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
ABAX,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623630899,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
ABB,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623631064,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
ABBV,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623631228,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
ABC,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623635006,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
ABCB,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623635180,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
ABCD,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623635343,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
ABDC,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623638225,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
ABE,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623638395,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
ABEO,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623638560,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
ABEOW,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623641377,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
ABEV,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623641579,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
ABG,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623641743,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
ABIL,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,3,0,0,,,,,1517058016623642749,1517072400000356870,IEX TOPS is aggregated top-of-book; no individual queue position
