message_index,message_type,event_type,timestamp_ns,symbol,bid_price,bid_size,ask_price,ask_size,spread,trade_price,trade_size,trade_id,parse_status
1,S,system_event,1517058016623564338,,,,,,,,,,parsed
5,Q,quote_update,1517058016623564338,A,0.0,0,0.0,0,,,,,parsed
9,Q,quote_update,1517058016623570941,AA,0.0,0,0.0,0,,,,,parsed
13,Q,quote_update,1517058016623572978,AAAP,0.0,0,0.0,0,,,,,parsed
17,Q,quote_update,1517058016623573151,AABA,0.0,0,0.0,0,,,,,parsed
21,Q,quote_update,1517058016623576821,AAC,0.0,0,0.0,0,,,,,parsed
25,Q,quote_update,1517058016623576972,AADR,0.0,0,0.0,0,,,,,parsed
29,Q,quote_update,1517058016623577108,AAL,0.0,0,0.0,0,,,,,parsed
33,Q,quote_update,1517058016623579199,AAMC,0.0,0,0.0,0,,,,,parsed
37,Q,quote_update,1517058016623579365,AAME,0.0,0,0.0,0,,,,,parsed
41,Q,quote_update,1517058016623579567,AAN,0.0,0,0.0,0,,,,,parsed
45,Q,quote_update,1517058016623615362,AAOI,0.0,0,0.0,0,,,,,parsed
49,Q,quote_update,1517058016623616412,AAON,0.0,0,0.0,0,,,,,parsed
53,Q,quote_update,1517058016623618975,AAP,0.0,0,0.0,0,,,,,parsed
57,Q,quote_update,1517058016623619146,AAPL,0.0,0,0.0,0,,,,,parsed
61,Q,quote_update,1517058016623621034,AAT,0.0,0,0.0,0,,,,,parsed
65,Q,quote_update,1517058016623621242,AAU,0.0,0,0.0,0,,,,,parsed
69,Q,quote_update,1517058016623622838,AAV,0.0,0,0.0,0,,,,,parsed
73,Q,quote_update,1517058016623623045,AAWW,0.0,0,0.0,0,,,,,parsed
77,Q,quote_update,1517058016623624737,AAXJ,0.0,0,0.0,0,,,,,parsed
81,Q,quote_update,1517058016623624992,AAXN,0.0,0,0.0,0,,,,,parsed
85,Q,quote_update,1517058016623626415,AB,0.0,0,0.0,0,,,,,parsed
89,Q,quote_update,1517058016623626585,ABAC,0.0,0,0.0,0,,,,,parsed
93,Q,quote_update,1517058016623630899,ABAX,0.0,0,0.0,0,,,,,parsed
97,Q,quote_update,1517058016623631064,ABB,0.0,0,0.0,0,,,,,parsed
101,Q,quote_update,1517058016623631228,ABBV,0.0,0,0.0,0,,,,,parsed
105,Q,quote_update,1517058016623635006,ABC,0.0,0,0.0,0,,,,,parsed
109,Q,quote_update,1517058016623635180,ABCB,0.0,0,0.0,0,,,,,parsed
113,Q,quote_update,1517058016623635343,ABCD,0.0,0,0.0,0,,,,,parsed
117,Q,quote_update,1517058016623638225,ABDC,0.0,0,0.0,0,,,,,parsed
121,Q,quote_update,1517058016623638395,ABE,0.0,0,0.0,0,,,,,parsed
125,Q,quote_update,1517058016623638560,ABEO,0.0,0,0.0,0,,,,,parsed
129,Q,quote_update,1517058016623641377,ABEOW,0.0,0,0.0,0,,,,,parsed
133,Q,quote_update,1517058016623641579,ABEV,0.0,0,0.0,0,,,,,parsed
137,Q,quote_update,1517058016623641743,ABG,0.0,0,0.0,0,,,,,parsed
141,Q,quote_update,1517058016623642749,ABIL,0.0,0,0.0,0,,,,,parsed
145,Q,quote_update,1517058016623642935,ABIO,0.0,0,0.0,0,,,,,parsed
149,Q,quote_update,1517058016623643101,ABLX,0.0,0,0.0,0,,,,,parsed
153,Q,quote_update,1517058016623645545,ABM,0.0,0,0.0,0,,,,,parsed
157,Q,quote_update,1517058016623645709,ABMD,0.0,0,0.0,0,,,,,parsed
161,Q,quote_update,1517058016623645875,ABR,0.0,0,0.0,0,,,,,parsed
165,Q,quote_update,1517058016623673434,ABR-A,0.0,0,0.0,0,,,,,parsed
169,Q,quote_update,1517058016623674538,ABR-B,0.0,0,0.0,0,,,,,parsed
173,Q,quote_update,1517058016623674714,ABR-C,0.0,0,0.0,0,,,,,parsed
177,Q,quote_update,1517058016623676316,ABRN,0.0,0,0.0,0,,,,,parsed
181,Q,quote_update,1517058016623681874,ABT,0.0,0,0.0,0,,,,,parsed
185,Q,quote_update,1517058016623682040,ABTX,0.0,0,0.0,0,,,,,parsed
189,Q,quote_update,1517058016623682178,ABUS,0.0,0,0.0,0,,,,,parsed
193,Q,quote_update,1517058016623682315,ABX,0.0,0,0.0,0,,,,,parsed
197,Q,quote_update,1517058016623683295,AC,0.0,0,0.0,0,,,,,parsed
201,Q,quote_update,1517058016623683652,ACAD,0.0,0,0.0,0,,,,,parsed
205,Q,quote_update,1517058016623683794,ACBI,0.0,0,0.0,0,,,,,parsed
209,Q,quote_update,1517058016623684603,ACC,0.0,0,0.0,0,,,,,parsed
213,Q,quote_update,1517058016623684742,ACCO,0.0,0,0.0,0,,,,,parsed
217,Q,quote_update,1517058016623684973,ACER,0.0,0,0.0,0,,,,,parsed
221,Q,quote_update,1517058016623686012,ACERW,0.0,0,0.0,0,,,,,parsed
225,Q,quote_update,1517058016623690647,ACET,0.0,0,0.0,0,,,,,parsed
229,Q,quote_update,1517058016623690819,ACFC,0.0,0,0.0,0,,,,,parsed
233,Q,quote_update,1517058016623691017,ACGL,0.0,0,0.0,0,,,,,parsed
237,Q,quote_update,1517058016623692548,ACGLO,0.0,0,0.0,0,,,,,parsed
241,Q,quote_update,1517058016623692755,ACGLP,0.0,0,0.0,0,,,,,parsed
245,Q,quote_update,1517058016623692917,ACH,0.0,0,0.0,0,,,,,parsed
249,Q,quote_update,1517058016623694513,ACHC,0.0,0,0.0,0,,,,,parsed
253,Q,quote_update,1517058016623694678,ACHN,0.0,0,0.0,0,,,,,parsed
257,Q,quote_update,1517058016623694837,ACHV,0.0,0,0.0,0,,,,,parsed
261,Q,quote_update,1517058016623720470,ACIA,0.0,0,0.0,0,,,,,parsed
265,Q,quote_update,1517058016623722248,ACIM,0.0,0,0.0,0,,,,,parsed
269,Q,quote_update,1517058016623722398,ACIU,0.0,0,0.0,0,,,,,parsed
273,Q,quote_update,1517058016623724317,ACIW,0.0,0,0.0,0,,,,,parsed
277,Q,quote_update,1517058016623724491,ACLS,0.0,0,0.0,0,,,,,parsed
281,Q,quote_update,1517058016623725780,ACM,0.0,0,0.0,0,,,,,parsed
285,Q,quote_update,1517058016623725952,ACMR,0.0,0,0.0,0,,,,,parsed
289,Q,quote_update,1517058016623727871,ACN,0.0,0,0.0,0,,,,,parsed
293,Q,quote_update,1517058016623728039,ACNB,0.0,0,0.0,0,,,,,parsed
297,Q,quote_update,1517058016623730005,ACOR,0.0,0,0.0,0,,,,,parsed
301,Q,quote_update,1517058016623730173,ACP,0.0,0,0.0,0,,,,,parsed
305,Q,quote_update,1517058016623730333,ACRE,0.0,0,0.0,0,,,,,parsed
309,Q,quote_update,1517058016623731737,ACRS,0.0,0,0.0,0,,,,,parsed
313,Q,quote_update,1517058016623731904,ACRX,0.0,0,0.0,0,,,,,parsed
317,Q,quote_update,1517058016623736140,ACSF,0.0,0,0.0,0,,,,,parsed
321,Q,quote_update,1517058016623736333,ACSI,0.0,0,0.0,0,,,,,parsed
325,Q,quote_update,1517058016623736481,ACST,0.0,0,0.0,0,,,,,parsed
329,Q,quote_update,1517058016623740035,ACT,0.0,0,0.0,0,,,,,parsed
333,Q,quote_update,1517058016623740203,ACTA,0.0,0,0.0,0,,,,,parsed
337,Q,quote_update,1517058016623740387,ACTG,0.0,0,0.0,0,,,,,parsed
341,Q,quote_update,1517058016623743397,ACU,0.0,0,0.0,0,,,,,parsed
345,Q,quote_update,1517058016623743571,ACV,0.0,0,0.0,0,,,,,parsed
349,Q,quote_update,1517058016623743741,ACWF,0.0,0,0.0,0,,,,,parsed
353,Q,quote_update,1517058016623745156,ACWI,0.0,0,0.0,0,,,,,parsed
357,Q,quote_update,1517058016623766918,ACWV,0.0,0,0.0,0,,,,,parsed
361,Q,quote_update,1517058016623768522,ACWX,0.0,0,0.0,0,,,,,parsed
365,Q,quote_update,1517058016623768689,ACXM,0.0,0,0.0,0,,,,,parsed
369,Q,quote_update,1517058016623770250,ACY,0.0,0,0.0,0,,,,,parsed
373,Q,quote_update,1517058016623770416,ADAP,0.0,0,0.0,0,,,,,parsed
377,Q,quote_update,1517058016623772251,ADBE,0.0,0,0.0,0,,,,,parsed
381,Q,quote_update,1517058016623772442,ADC,0.0,0,0.0,0,,,,,parsed
385,Q,quote_update,1517058016623774497,ADES,0.0,0,0.0,0,,,,,parsed
389,Q,quote_update,1517058016623774650,ADI,0.0,0,0.0,0,,,,,parsed
393,Q,quote_update,1517058016623776423,ADM,0.0,0,0.0,0,,,,,parsed
397,Q,quote_update,1517058016623776592,ADMA,0.0,0,0.0,0,,,,,parsed
401,Q,quote_update,1517058016623777839,ADMP,0.0,0,0.0,0,,,,,parsed
405,Q,quote_update,1517058016623778059,ADMS,0.0,0,0.0,0,,,,,parsed
409,Q,quote_update,1517058016623782086,ADNT,0.0,0,0.0,0,,,,,parsed
413,Q,quote_update,1517058016623782255,ADOM,0.0,0,0.0,0,,,,,parsed
417,Q,quote_update,1517058016623782418,ADP,0.0,0,0.0,0,,,,,parsed
421,Q,quote_update,1517058016623786075,ADRA,0.0,0,0.0,0,,,,,parsed
425,Q,quote_update,1517058016623786265,ADRD,0.0,0,0.0,0,,,,,parsed
429,Q,quote_update,1517058016623786427,ADRE,0.0,0,0.0,0,,,,,parsed
433,Q,quote_update,1517058016623788829,ADRO,0.0,0,0.0,0,,,,,parsed
437,Q,quote_update,1517058016623788998,ADRU,0.0,0,0.0,0,,,,,parsed
441,Q,quote_update,1517058016623789143,ADS,0.0,0,0.0,0,,,,,parsed
445,Q,quote_update,1517058016623792908,ADSK,0.0,0,0.0,0,,,,,parsed
449,Q,quote_update,1517058016623821304,ADSW,0.0,0,0.0,0,,,,,parsed
453,Q,quote_update,1517058016623823289,ADT,0.0,0,0.0,0,,,,,parsed
457,Q,quote_update,1517058016623823502,ADTN,0.0,0,0.0,0,,,,,parsed
